id;satrt;end;update;status;cause;Severity;code_objet_IdFM;type_objet;station_Name _IdFM;titre_du_message;corps_du_message
000c9198-c16a-11ec-9438-005056a44da2;2022-04-25T06:00:00+02:00;2023-04-21T04:00:00+02:00;2022-04-21T15:55:55+02:00;active;perturbation;perturbée;C00544;line;SQYBUS Bus 439;Réseau SQYBUS : Perturbation lignes 439 et 440, à partir du lundi 25 avril 2022, jusqu'à la fin des travaux.;"<p>En raison des travaux rue d'Anjou à Versailles, les lignes seront déviées dans les deux sens.<br></p><p>L'arrêt ""Lycée Jules Ferry"" en direction de Voisins- Chamfleury sera reporté à l'arrêt ""Lycée Jules Ferry"" des lignes 3 / 10 / 22 sur la rue Albert Samain en face de l'entrée du lycée.</p><p><br></p>"
c348fd0c-432b-11ed-a595-005056a47b86;2022-12-01T00:20:00+01:00;2022-12-01T04:20:00+01:00;2022-10-03T18:57:55+02:00;future;travaux;bloquante;C01728;line;RER D;Ligne D : Paris Lyon - Creil du 14/11 au 9/12;"<p>P&#233;riode : &#224; partir de 23h20 <br><br>Dates : du 14 novembre au  9 d&#233;cembre 2022 (sauf week-ends)<br><br>Le trafic est interrompu entre Paris Gare de Lyon et Creil.<br><br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires entre la Plaine Stade de France, Goussainville et Creil . Pour se rendre &#224; la Plaine Stade de France, merci d'emprunter le RER B.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>"
4604010c-335e-11ed-974f-005056a44da2;2022-10-21T00:00:00+02:00;2022-10-21T04:30:00+02:00;2022-09-13T16:19:11+02:00;future;travaux;bloquante;C01999;line;Transilien Tramway T11;Ligne T11 : Epinay - Le Bourget du 17 au 28/10;"<p>P&#233;riode : &#224; partir de 22h00<br><br>Dates : du lundi 17 au vendredi 28 octobre, sauf le samedi et le dimanche<br><br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-t11-epinay-lebourget-du17au28octobre.pdf "" target="""">Pour plus d'informations, cliquez ici pour t&#233;l&#233;charger l'affiche PDF.</a><br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux de maintenance.<br></p>"
06d25e46-a206-11ec-b07e-005056a44da2;2022-03-12T15:12:10+01:00;2023-03-12T15:12:10+01:00;2022-03-12T15:12:11+01:00;active;perturbation;perturbée;71422;stop_area;Puteaux (Puteaux);Panne d'un ascenseur;GARE DE PUTEAUX Panne de l'ascenseur situé 2, rue de la Station, direction La Défense - Issy - Val de Seine
0a3dc126-44d4-11ed-9caa-005056a44da2;2022-10-06T06:00:00+02:00;2022-10-06T22:30:00+02:00;2022-10-05T21:35:01+02:00;active;perturbation;perturbée;C00546;line;Arlequin Bus 7;SETRA - Ligne 7- courses non réalisées 06/10/22;"<p><div class=""fckcontainer""><p>&nbsp;<span style=""font-family: Calibri; font-size: 12pt; text-indent: 0in;"">7</span></p><br><p style=""margin-top: 2.88pt; margin-bottom: 0pt; margin-left: 0in; text-indent: 0in; direction: ltr; unicode-bidi: embed; word-break: normal;""><span style=""font-size: 12pt; font-family: Calibri;"">Le 06/10/2022</span></p><br><p style=""margin-top: 2.88pt; margin-bottom: 0pt; margin-left: 0in; text-indent: 0in; direction: ltr; unicode-bidi: embed; word-break: normal;""><span style=""font-size: 12pt; font-family: Calibri;"">En raison d&rsquo;un manque de personnel, le trafic sera perturb&eacute; : </span></p><br><p style=""margin-top: 2.88pt; margin-bottom: 0pt; margin-left: 0in; text-indent: 0in; direction: ltr; unicode-bidi: embed; word-break: normal;""><span style=""font-size: 12pt; font-family: Calibri;"">Les courses suivantes ne seront pas assur&eacute;es </span></p><br><p style=""margin-top: 2.88pt; margin-bottom: 0pt; margin-left: 0in; text-indent: 0in; direction: ltr; unicode-bidi: embed; word-break: normal;""><span style=""font-size: 12pt; font-family: Calibri;"">D&eacute;parts de Gare de Combs la ville :&nbsp;</span><span style=""font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;"">8h00,9h14,9h45,17h00,17h45</span></p><br><p style=""margin-top: 2.88pt; margin-bottom: 0pt; margin-left: 0in; text-indent: 0in; direction: ltr; unicode-bidi: embed; word-break: normal;""><span style=""font-size: 12pt; font-family: Calibri;"">D&eacute;parts Ambroise Par&eacute; :&nbsp;</span><span style=""font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;"">7h25,8h32.</span></p><br><p style=""margin-top: 2.88pt; margin-bottom: 0pt; margin-left: 0in; text-indent: 0in; direction: ltr; unicode-bidi: embed; word-break: normal;""><span style=""font-size: 12pt; font-family: Calibri;"">Veuillez nous excuser pour la g&ecirc;ne occasionn&eacute;e.</span></p></div><a href='https://www.transdev-idf.com/horaire-ligne-7-arlequin_040'>En savoir plus sur cette information.</a></p>"
0b98e3ce-51f6-11ec-8d00-005056a44da2;2021-12-07T01:01:00+01:00;2024-01-01T00:00:00+01:00;2021-11-30T17:56:14+01:00;active;travaux;perturbée;C00654;line;Poissy - Les Mureaux Bus 12;Travaux - Cergy - Arrêt Cergy Préfecture déplacé du 07/12/2021 jusqu'à la fin des travaux;<p>En raison de travaux de restructuration</p><p>de la gare routière de Cergy Préfecture,</p><p>l’arrêt Cergy Préfecture est déplacé boulevard de l’Hautil :</p><p>du 7 décembre 2021 jusqu’à la fin des travaux.</p><p>Nous vous prions de nous excuser de la gêne occasionnée.</p>
0c01f82e-2cfb-11ed-ab51-005056a47b86;2022-10-23T00:50:00+02:00;2022-10-23T03:50:00+02:00;2022-09-05T13:13:47+02:00;future;travaux;bloquante;C01730;line;Transilien Train Transilien P;Ligne P : Paris Est - Meaux du 9 au 30 octobre;"<p>P&#233;riode : &#224; partir de 22h50<br><br>Dates : le dimanche 9 octobre, les samedis et dimanches 15-16, 22-23 et 29-30 octobre<br><br>Le trafic est interrompu entre Paris Est et Meaux.<br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Pour plus d'informations, <a href=""https://www.transilien.com/sites/transilien/files/sentinelle-p-parisest-meaux-du09au30octobre.pdf"" target="""">cliquez ici pour t&#233;l&#233;charger l'affiche PDF</a>.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>"
0c01f82e-2cfb-11ed-ab51-005056a47b86;2022-10-17T00:50:00+02:00;2022-10-17T03:50:00+02:00;2022-09-05T13:13:47+02:00;future;travaux;bloquante;C01730;line;Transilien Train Transilien P;Ligne P : Paris Est - Meaux du 9 au 30 octobre;"<p>P&#233;riode : &#224; partir de 22h50<br><br>Dates : le dimanche 9 octobre, les samedis et dimanches 15-16, 22-23 et 29-30 octobre<br><br>Le trafic est interrompu entre Paris Est et Meaux.<br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br>Pour plus d'informations, <a href=""https://www.transilien.com/sites/transilien/files/sentinelle-p-parisest-meaux-du09au30octobre.pdf"" target="""">cliquez ici pour t&#233;l&#233;charger l'affiche PDF</a>.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>"
22e19b0a-39a6-11ed-8a90-005056a47b86;2022-10-26T00:15:00+02:00;2022-10-26T04:15:00+02:00;2022-09-21T16:08:43+02:00;future;travaux;bloquante;C01742;line;RER A;Ligne A : Sartrouville - Poissy du 24 au 28/10;"<p>P&#233;riode : &#224; partir de 22h15<br><br>Dates : du lundi 24 au vendredi 28 octobre<br><br>Le trafic est interrompu entre Sartrouville et Poissy.<br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-a-sartrouville-poissy-du24au28octobre.pdf"" target="""">Pour plus d'informations, cliquez ici pour t&#233;l&#233;charger l'affiche PDF.</a><br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>"
62f3454c-41b5-11ed-8ade-005056a44da2;2022-11-08T22:15:00+01:00;2022-11-09T01:45:00+01:00;2022-10-01T22:18:02+02:00;future;travaux;bloquante;C01736;line;Transilien Train Transilien N;Ligne N : Paris - Mantes du 1er au 30 novembre;"<p>P&#233;riode : le soir &#224; partir de 21h15.<br><br>Dates : du mardi 1er au mercredi 30 novembre sauf samedis et dimanches.</p><p><br>Le trafic est interrompu de Plaisir Grignon vers Mantes la Jolie et de Mantes-la-Jolie vers Paris.<br>Un service de bus de remplacement est mis en place, avec desserte des gares interm&#233;diaires.<br><br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-n-pmp-manteslj-1erau30novembre.pdf"" target=""_blank"">Pour plus d'informations, cliquez ici pour t&#233;l&#233;charger l'affiche PDF.</a><br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux de maintenance.<br><br><br></p>"
